"","X","X0"
"1",1,"POLR2A,RXRA"
"2",2,"SMARCA5,NKRF"
"3",3,"MEF2C,ASH2L"
"4",4,"SMAD1,SMAD5"
"5",5,"CHD4,SIN3A"
"6",6,"EED,REST"
"7",7,"RB1,KLF5"
"8",8,"PAX5,MYB"
"9",9,"RCOR1,NR2C1"
"10",10,"CHD4,FOS"
"11",11,"REST,CHD4"
"12",12,"SRF,TCF12"
"13",13,"BACH1,ATF7"
"14",14,"FOS,CBX5"
"15",15,"HCFC1,MXI1"
"16",16,"MAX,TBP"
"17",17,"EP300,MEF2C"
"18",18,"IKZF1,GATAD2B"
"19",19,"CBX5,ATF2"
"20",20,"BMI1,MYB"
"21",21,"BACH1,NBN"
"22",22,"TCF7,PBX3"
"23",23,"JUND,ELK1"
"24",24,"RAD51,CHD4"
"25",25,"IRF5,SIN3A"
"26",26,"PAX5,TCF7"
"27",27,"USF1,MAX"
"28",28,"ESRRA,BCL11A"
"29",29,"IKZF2,EED"
"30",30,"NFATC1,ATF7"
"31",31,"IRF3,EP300"
"32",32,"SRF,ZNF207"
"33",33,"ARID3A,JUND"
"34",34,"ZNF207,MLLT1"
"35",35,"RUNX3,ETS1"
"36",36,"USF2,EP300"
"37",37,"TBP,H2AFZ"
"38",38,"STAT3,TBP"
"39",39,"BCL11A,CHD1"
"40",40,"NR2C1,RCOR1"
"41",41,"CTCF,NR2C2"
"42",42,"HDGF,IKZF1"
"43",43,"ZNF24,HDGF"
"44",44,"SIN3A,ELF1"
"45",45,"BRCA1,E2F4"
"46",46,"SMAD1,TCF7"
"47",47,"MYB,E4F1"
"48",48,"USF1,SMARCA5"
"49",49,"STAT3,BCL3"
"50",50,"TBP,CBX5"
"51",51,"REST,RCOR1"
"52",52,"EBF1,CUX1"
"53",53,"RXRA,ARNT"
"54",54,"ZBTB33,HDGF"
"55",55,"TCF7,E2F4"
"56",56,"NFYB,TRIM22"
"57",57,"RB1,TBP"
"58",58,"CHD4,MEF2A"
"59",59,"REST,CHD1"
"60",60,"ZNF384,RB1"
"61",61,"TAF1,SIN3A"
"62",62,"BATF,CHD1"
"63",63,"TRIM22,NFYB"
"64",64,"FOXK2,YY1"
"65",65,"MYC,RUNX3"
"66",66,"ELF1,NFYB"
"67",67,"RUNX3,PAX8"
"68",68,"PAX8,ETS1"
"69",69,"RB1,E2F8"
"70",70,"FOXK2,MTA3"
"71",71,"JUND,YY1"
"72",72,"CBFB,RUNX3"
"73",73,"BCL3,TBP"
"74",74,"CHD1,YY1"
"75",75,"TAF1,TBP"
"76",76,"H2AFZ,CTCF"
"77",77,"CHD4,ARID3A"
"78",78,"KLF5,RB1"
"79",79,"E2F4,ASH2L"
"80",80,"NFYB,YBX1"
"81",81,"NR2C1,ARNT"
"82",82,"CTCF,HDGF"
"83",83,"NR2F1,ARNT"
"84",84,"EP300,NFATC1"
"85",85,"FOXK2,MEF2B"
"86",86,"NFATC3,NFIC"
"87",87,"SIN3A,SKIL"
"88",88,"HCFC1,ASH2L"
"89",89,"JUNB,CHD1"
"90",90,"HDGF,ZBTB33"
"91",91,"TBP,FOXK2"
"92",92,"BCL3,FOS"
"93",93,"MEF2A,CHD1"
"94",94,"ZBTB40,EED"
"95",95,"STAT5A,TBP"
"96",96,"HDGF,ZNF143"
"97",97,"NKRF,CHD4"
"98",98,"KLF5,NR2F1"
"99",99,"ATF2,NFATC1"
"100",100,"FOS,RB1"
"101",101,"CTCF,YBX1"
"102",102,"TCF12,MEF2B"
"103",103,"IRF4,BATF"
"104",104,"FOS,ETS1"
"105",105,"ETS1,PAX5"
"106",106,"NFYB,ELF1"
"107",107,"RAD21,BRCA1"
"108",108,"RELB,STAT3"
"109",109,"SIN3A,KLF5"
"110",110,"EED,MAZ"
"111",111,"SKIL,SIN3A"
"112",112,"SMAD5,SKIL"
"113",113,"MYB,MAZ"
"114",114,"CHD1,BCL11A"
"115",115,"TBX21,STAT3"
"116",116,"MEF2C,TCF12"
"117",117,"MYC,POLR2A"
"118",118,"H2AFZ,NBN"
"119",119,"MEF2A,SMARCA5"
"120",120,"SMC3,RB1"
"121",121,"DPF2,SMC3"
"122",122,"BRCA1,ATF2"
"123",123,"SMAD1,BACH1"
"124",124,"SMARCA5,RCOR1"
"125",125,"JUNB,SMARCA5"
"126",126,"CBFB,PAX8"
"127",127,"CUX1,EP300"
"128",128,"FOXK2,TBP"
"129",129,"EP300,RB1"
"130",130,"MEF2B,PKNOX1"
"131",131,"TBL1XR1,EP300"
"132",132,"MEF2C,TBP"
"133",133,"SIN3A,E2F4"
"134",134,"MEF2C,CHD4"
"135",135,"IKZF2,RB1"
"136",136,"EED,IKZF2"
"137",137,"CHD4,RAD51"
"138",138,"BRCA1,STAT5A"
"139",139,"MTA2,BRCA1"
"140",140,"ATF7,JUNB"
"141",141,"MEF2B,RAD51"
"142",142,"BCL11A,EED"
"143",143,"RCOR1,CHD1"
"144",144,"EP300,BRCA1"
"145",145,"FOS,JUNB"
"146",146,"MYC,MYB"
"147",147,"H2AFZ,SMARCA5"
"148",148,"PBX3,TCF7"
"149",149,"RUNX3,GABPA"
"150",150,"E2F4,USF1"
"151",151,"ASH2L,MEF2C"
"152",152,"RB1,FOXK2"
"153",153,"MTA2,CHD4"
"154",154,"IKZF1,SMARCA5"
"155",155,"MYC,SIN3A"
"156",156,"CHD4,TCF12"
"157",157,"EP300,IKZF2"
"158",158,"SIN3A,JUND"
"159",159,"SRF,NFIC"
"160",160,"SIN3A,SPI1"
"161",161,"NFYB,SMC3"
"162",162,"TCF12,SMARCA5"
"163",163,"STAT5A,BRCA1"
"164",164,"MEF2B,MEF2A"
"165",165,"BRCA1,RAD51"
"166",166,"CHD4,SRF"
"167",167,"MEF2A,EP300"
"168",168,"MTA3,IKZF1"
"169",169,"E4F1,LARP7"
"170",170,"SRF,CBX5"
"171",171,"CTCF,CHD1"
"172",172,"E2F4,RB1"
"173",173,"STAT3,BRCA1"
"174",174,"SIN3A,ETV6"
"175",175,"ZBTB33,SMARCA5"
"176",176,"BCL3,IKZF1"
"177",177,"EED,ZBTB33"
"178",178,"ESRRA,MAZ"
"179",179,"BRCA1,POLR2A"
"180",180,"CHD4,GATAD2B"
"181",181,"E2F4,MYB"
"182",182,"RCOR1,SMARCA5"
"183",183,"YY1,BRCA1"
"184",184,"ETV6,ETS1"
"185",185,"ARNT,RB1"
"186",186,"BACH1,SMAD5"
"187",187,"NKRF,SIN3A"
"188",188,"JUND,SIN3A"
"189",189,"BCL11A,NR2F1"
"190",190,"SPI1,SMAD1"
"191",191,"CBFB,BMI1"
"192",192,"ELK1,MEF2C"
"193",193,"SRF,TBL1XR1"
"194",194,"ZNF217,EP300"
"195",195,"ZEB1,SRF"
"196",196,"EP300,USF2"
"197",197,"CBX5,BATF"
"198",198,"CHD1,MEF2A"
"199",199,"EP300,BACH1"
"200",200,"IKZF1,RB1"
"201",201,"RAD21,TARDBP"
"202",202,"ZNF384,EED"
"203",203,"BACH1,SMAD1"
"204",204,"EBF1,MAZ"
"205",205,"KLF5,CHD1"
"206",206,"FOXK2,TCF7"
"207",207,"EED,ZNF24"
"208",208,"BCL3,RELB"
"209",209,"ETS1,ETV6"
"210",210,"IKZF1,CHD4"
"211",211,"CHD1,CHD4"
"212",212,"EP300,ATF2"
"213",213,"EP300,REST"
"214",214,"MYC,NFIC"
"215",215,"EP300,TCF7"
"216",216,"CHD1,ZBTB33"
"217",217,"ETS1,JUND"
"218",218,"BCL3,MLLT1"
"219",219,"BATF,JUNB"
"220",220,"TBP,JUNB"
"221",221,"ZFP36,HDGF"
"222",222,"SMARCA5,ZNF143"
"223",223,"ZSCAN29,SIN3A"
"224",224,"BMI1,MLLT1"
"225",225,"YY1,E2F4"
"226",226,"SMARCA5,USF1"
"227",227,"HCFC1,KLF5"
"228",228,"SMC3,RAD51"
"229",229,"MEF2C,ETS1"
"230",230,"H2AFZ,CBX5"
"231",231,"BATF,JUND"
"232",232,"FOS,NR2F1"
"233",233,"SIN3A,HCFC1"
"234",234,"ARID3A,E2F4"
"235",235,"BHLHE40,RXRA"
"236",236,"STAT3,FOS"
"237",237,"TAF1,FOS"
"238",238,"PAX8,RUNX3"
"239",239,"REST,EED"
"240",240,"BCL11A,NR2C2"
"241",241,"HSF1,ZBED1"
"242",242,"KLF5,RXRA"
"243",243,"MEF2A,ETS1"
"244",244,"TAF1,SMARCA5"
"245",245,"YY1,CHD1"
"246",246,"CUX1,NFATC1"
"247",247,"ZEB1,SMAD1"
"248",248,"YY1,EBF1"
"249",249,"NFATC1,JUND"
"250",250,"PAX5,BCL3"
"251",251,"ZNF143,RB1"
"252",252,"SRF,ZEB1"
"253",253,"YY1,NR2C2"
"254",254,"ZNF384,EP300"
"255",255,"MEF2C,MEF2A"
"256",256,"ZBTB33,RXRA"
"257",257,"EP300,YBX1"
"258",258,"CHD1,ATF2"
"259",259,"NR2F1,IKZF1"
"260",260,"ZNF24,YY1"
"261",261,"HSF1,RAD51"
"262",262,"BCL11A,EBF1"
"263",263,"ARNT,NR2C2"
"264",264,"RAD21,SMARCA5"
"265",265,"SMARCA5,CHD4"
"266",266,"SIN3A,REST"
"267",267,"FOS,BACH1"
"268",268,"FOXK2,ELK1"
"269",269,"MEF2C,GABPA"
"270",270,"IKZF1,TCF7"
"271",271,"BCL3,REST"
"272",272,"NFYB,SMARCA5"
"273",273,"TAF1,STAT5A"
"274",274,"HDGF,ZSCAN29"
"275",275,"YBX1,NFYB"
"276",276,"IKZF2,HDGF"
"277",277,"EED,ZNF592"
"278",278,"NFYB,EED"
"279",279,"SMARCA5,IKZF1"
"280",280,"MEF2B,CBX5"
"281",281,"HCFC1,MYC"
"282",282,"PAX8,EP300"
"283",283,"E2F4,RAD51"
"284",284,"NFYB,RCOR1"
"285",285,"ZNF592,SIN3A"
"286",286,"TCF12,TBP"
"287",287,"IKZF1,IKZF2"
"288",288,"PAX8,TCF7"
"289",289,"SRF,SMARCA5"
"290",290,"IKZF1,MTA2"
"291",291,"NR2C2,NR2C1"
"292",292,"BMI1,EP300"
"293",293,"NFYB,MYC"
"294",294,"BATF,HSF1"
"295",295,"ZNF143,HDGF"
"296",296,"HDGF,BCL11A"
"297",297,"E4F1,EP300"
"298",298,"CTCF,RB1"
"299",299,"IKZF2,IKZF1"
"300",300,"SIN3A,NFYB"
"301",301,"ZNF207,SRF"
"302",302,"POLR2A,MTA2"
"303",303,"CBX5,TBP"
"304",304,"BATF,MYB"
"305",305,"RXRA,EP300"
"306",306,"SIN3A,YY1"
"307",307,"YY1,SMAD1"
"308",308,"EED,NKRF"
"309",309,"ELK1,PAX5"
"310",310,"NKRF,EBF1"
"311",311,"KLF5,TBP"
"312",312,"E2F4,ZBED1"
"313",313,"MTA3,RCOR1"
"314",314,"ZNF384,BCL3"
"315",315,"SIN3A,IRF5"
"316",316,"ESRRA,NKRF"
"317",317,"TBP,MEF2C"
"318",318,"SIN3A,MYB"
"319",319,"IKZF1,NR2F1"
"320",320,"ASH2L,MAX"
"321",321,"RCOR1,H2AFZ"
"322",322,"STAT3,JUND"
"323",323,"CUX1,SMC3"
"324",324,"SMAD1,SKIL"
"325",325,"TAF1,STAT3"
"326",326,"IKZF1,RXRA"
"327",327,"ESRRA,ZNF217"
"328",328,"YBX1,EP300"
"329",329,"CUX1,PAX5"
"330",330,"ATF7,MYB"
"331",331,"IKZF1,EED"
"332",332,"ASH2L,H2AFZ"
"333",333,"ATF2,SMARCA5"
"334",334,"PAX8,CUX1"
"335",335,"CTCF,SMC3"
"336",336,"ESRRA,EP300"
"337",337,"MYC,EP300"
"338",338,"CHD4,ZNF687"
"339",339,"MYC,BRCA1"
"340",340,"MLLT1,BCL3"
"341",341,"EED,E2F4"
"342",342,"ETS1,TBP"
"343",343,"POLR2A,CHD1"
"344",344,"ZNF143,CHD4"
"345",345,"YY1,ATF7"
"346",346,"SMARCA5,SIN3A"
"347",347,"FOS,MYC"
"348",348,"MLLT1,JUNB"
"349",349,"MEF2B,ELK1"
"350",350,"ZNF143,EBF1"
"351",351,"EP300,NR2C1"
"352",352,"NFATC3,JUNB"
"353",353,"NFYB,DPF2"
"354",354,"FOXK2,ZNF143"
"355",355,"MTA2,SIN3A"
"356",356,"SMARCA5,CHD1"
"357",357,"MYB,HSF1"
"358",358,"JUND,EP300"
"359",359,"MEF2C,PKNOX1"
"360",360,"BMI1,CBX5"
"361",361,"RUNX3,SMAD1"
"362",362,"ZNF143,SIN3A"
"363",363,"EP300,ZNF687"
"364",364,"RAD51,SIN3A"
"365",365,"EP300,E2F8"
"366",366,"JUND,FOS"
"367",367,"SMARCA5,ZNF24"
"368",368,"JUNB,STAT1"
"369",369,"STAT1,TBX21"
"370",370,"ATF7,HSF1"
"371",371,"TBX21,STAT5A"
"372",372,"SPI1,EP300"
"373",373,"NFYB,H2AFZ"
"374",374,"SIN3A,ASH2L"
"375",375,"CHD1,SRF"
"376",376,"JUNB,ARID3A"
"377",377,"CHD1,ZBED1"
"378",378,"ZNF592,EP300"
"379",379,"CREM,EP300"
"380",380,"ZNF143,BCL3"
"381",381,"EP300,RUNX3"
"382",382,"TCF7,YY1"
"383",383,"EED,E2F8"
"384",384,"BCL3,TBL1XR1"
"385",385,"NFIC,BRCA1"
"386",386,"ZEB1,MEF2A"
"387",387,"EP300,NR2F1"
"388",388,"ATF2,ATF7"
"389",389,"NKRF,CHD1"
"390",390,"CHD1,ZNF143"
"391",391,"SPI1,SIN3A"
"392",392,"SMARCA5,WRNIP1"
"393",393,"SMARCA5,ARID3A"
"394",394,"NR2C2,RUNX3"
