1 2
1 EHMT2,ATF1
2 HDAC2,PML
3 ATF3,CBX3
4 HDAC6,HLTF
5 POLR2A,HES1
6 ZNF282,EP300
7 HDAC2,H2AFZ
8 HCFC1,MBD2
9 ARID2,HDAC6
10 SMARCC2,TBL1XR1
11 ATF2,NBN
12 EP400,ATF7
13 CDC5L,RBM22
14 HDAC1,HDAC2
15 HCFC1,MNT
16 POLR3A,BRD4
17 MYC,NFYB
18 HDGF,PRDM10
19 HDGF,ZNF384
20 ZBTB33,FOXA1
21 E2F6,TEAD4
22 RB1,MYBL2
23 SMARCC2,KHSRP
24 MAX,USF1
25 ZBTB33,LEF1
26 PML,AGO1
27 CBX1,KAT8
28 ZMYM3,CBX5
29 MCM3,EP300
30 HDAC6,SMARCA4
31 CTCF,FOXA1
32 EGR1,NR2C1
33 TBP,NR3C1
34 E2F1,SUZ12
35 CBX3,RB1
36 THRAP3,SNIP1
37 REST,E2F6
38 SIN3A,PHF21A
39 THRA,SETDB1
40 HDAC1,CBFA2T3
41 DNMT1,HDAC1
42 ZNF384,HDGF
43 KDM4B,H2AFZ
44 GATA1,RUNX1
45 SMARCC2,ZNF592
46 CTCF,KDM1A
47 ZNF592,GATAD2A
48 TRIM24,PML
49 USF1,RBBP5
50 CUX1,EP300
51 SMARCC2,SMARCE1
52 RBM14,RUNX1
53 ATF4,THRA
54 ETV6,CDC5L
55 SOX6,MITF
56 SMARCE1,GABPA
57 ZBTB7A,GABPB1
58 RAD51,BRD4
59 CBX3,RAD21
60 HDAC2,EP300
61 SIN3A,ZNF274
62 FOXK2,PRPF4
63 SRSF3,PCBP1
64 SMARCC2,ZNF143
65 NR2F1,THAP1
66 PHF21A,POLR2B
67 NCOA6,NCOA2
68 DDX20,RBM22
69 E2F6,MTA3
70 HNRNPUL1,TARDBP
71 PHF21A,SIN3A
72 EP400,RBBP5
73 MYC,SIN3A
74 RCOR1,HDAC2
75 EGR1,SOX6
76 SPI1,CEBPB
77 E2F6,CBX3
78 SMARCA4,RFX5
79 PHB2,HDAC3
80 GTF2B,GTF2F1
81 FOS,HDAC3
82 XRCC5,NBN
83 SMARCC2,KDM1A
84 TBP,EP400
85 CBX5,SETDB1
86 NR3C1,FOS
87 SMARCC2,GATA1
88 PHF21A,ASH1L
89 NFYB,TBP
90 MYBL2,SIN3A
91 RBBP5,NCOA6
92 EP300,MTA1
93 HDAC1,BHLHE40
94 ATF4,ATF1
95 GMEB1,NCOA2
96 SETDB1,ZBTB40
97 NR3C1,REST
98 HDAC2,TARDBP
99 ZBTB2,FOXM1
100 POLR2B,SRSF1
101 ATF1,SETDB1
102 TRIM28,E2F1
103 MTA1,EP300
104 HDAC2,FOS
105 ASH1L,IKZF1
106 NFYB,CBX3
107 POLR3A,EP400
108 SIRT6,XRCC5
109 CTBP1,TCF7L2
110 SIN3A,MAX
111 BACH1,ATF2
112 CEBPB,STAT5A
113 ATF1,BACH1
114 ATF7,JUN
115 RUNX1,SMAD1
116 HDAC2,ZMYM3
117 RBM22,SNIP1
118 JUN,SMAD1
119 HDAC2,ZNF143
120 H2AFZ,TRIM25
121 SMARCC2,GATA2
122 EP400,SMARCA4
123 RBM14,SMARCA5
124 NCOA2,JUN
125 ZNF316,BCOR
126 RCOR1,HDAC6
127 E4F1,ASH1L
128 H2AFZ,EHMT2
129 SMARCA4,SMARCC2
130 PHF21A,HDAC6
131 POLR2A,HDAC1
132 NR3C1,ARID1B
133 EGR1,ARID2
134 PHB2,NCOR1
135 SETDB1,SUPT5H
136 NR2F2,ARNT
137 TRIP13,PHF21A
138 SIN3B,ZNF263
139 LEF1,TCF7L2
140 SIRT6,PHF21A
141 EP400,XRCC3
142 BCOR,REST
143 RBBP5,LARP7
144 BACH1,SMAD1
145 BCOR,PRDM10
146 ASH1L,XRCC5
147 POLR2B,SMARCA4
148 TCF7L2,ZBTB33
149 ZBTB11,SIN3A
150 MBD2,HDAC6
151 CTBP1,SP1
152 GATA2,NR2F2
153 CTCF,SOX6
154 DNMT1,CBX5
155 HDAC3,GATA2
156 EHMT2,POLR2B
157 GATA1,UBTF
158 SIRT6,TCF7L2
159 HDAC2,XRCC3
160 MTA1,TRIM25
161 RCOR1,REST
162 HDAC2,DDX20
163 CBX5,CBX3
164 NCOA6,NCOA1
165 KAT8,PHF21A
166 ATF3,HDAC3
167 MYC,GTF2F1
168 IRF2,FOXK2
169 BRD4,KAT8
170 POLR2G,HLTF
171 NFYA,USF1
172 MCM3,NFYB
173 ASH1L,CBX5
174 SIN3A,ZNF263
175 E2F8,SUZ12
176 MBD2,GATA1
177 HDAC1,ZNF316
178 SIN3B,GATA1
179 PHF21A,KDM1A
180 PRDM10,GTF2B
181 TEAD4,JUN
182 ESRRA,ZNF274
183 ASH1L,CDC5L
184 ZNF639,SIN3B
185 BRD4,CEBPB
186 CTCF,HDAC6
187 CEBPB,GTF2B
188 POLR2A,MCM2
189 PHF21A,MGA
190 NONO,PTBP1
191 FOXA1,ZFP91
192 BHLHE40,CREM
193 FOXM1,KLF16
194 ESRRA,ATF4
195 GTF2F1,JUN
196 TRIM28,CEBPB
197 EP300,IRF2
198 NR3C1,ZBTB7A
199 SETDB1,ZBTB11
200 ARID3A,SPI1
201 ARID1B,ZBED1
202 MAX,PHF21A
203 FOXA1,ZNF384
204 TEAD4,HDAC3
205 BRD4,PHF20
206 SETDB1,POLR2B
207 SMC3,XRCC3
208 PHF21A,CTBP1
209 GTF2B,NR2F1
210 CBFA2T3,TAL1
211 EP400,MEF2A
212 BMI1,TBP
213 HNRNPK,KHSRP
214 CBX3,MGA
215 MTA2,YY1
216 SUZ12,PML
217 HDGF,CBX3
218 MCM5,RAD51
219 ZNF316,HDAC3
220 C11orf30,HDAC2
221 YY1,SAP30
222 ATF2,ATF7
223 ZBTB33,HDAC2
224 MCM7,SMARCC2
225 HDGF,EWSR1
226 TBP,FOXK2
227 JUN,TBP
228 SIN3B,THAP1
229 THRA,EP300
230 NR2C1,RCOR1
231 FOXK2,NR3C1
232 HDAC6,NKRF
233 ATF2,BACH1
234 ZNF384,NR3C1
235 LEF1,HDAC2
236 IKZF1,FOXK2
237 ZNF143,BRD4
238 HDAC1,TRIM24
239 EP300,NFYB
240 ZFP91,HDAC2
241 RBBP5,C11orf30
242 ARID1B,EP400
243 TCF7L2,SIN3B
244 AGO1,CBX5
245 PHF21A,RAD21
246 BRD4,HDAC2
247 NONO,SMARCB1
248 EGR1,TCF7
249 ZKSCAN1,HDAC6
250 CUX1,EHMT2
251 THAP1,NR2F1
252 TCF7,FOXA1
253 JUN,NKRF
254 HDAC1,CREM
255 SMARCA5,MYNN
256 SIN3A,TCF7L2
257 ZFP91,HDAC1
258 HDAC2,MNT
259 H2AFZ,CTCF
260 RAD51,CBX5
261 PHF21A,SIRT6
262 NR2F2,SETDB1
263 ZBTB8A,EP300
264 NFYB,RCOR1
265 BCOR,ZNF592
266 SMARCC2,UBTF
267 PHF21A,SMC3
268 HLTF,UBTF
269 MTA3,MTA2
270 MEF2A,JUN
271 ATF3,ATF7
272 SPI1,GATA1
273 FOXK2,SIN3B
274 BRD4,HLTF
275 ETS1,EP300
276 SMARCE1,ELK1
277 FOXM1,CDC5L
278 NFYB,H2AFZ
279 EP300,THRA
280 MAFK,HDAC3
281 MYBL2,ZBTB2
282 HDAC6,HNRNPK
283 NR3C1,HDAC6
284 GABPB1,RFX5
285 RCOR1,CDC5L
286 TARDBP,EWSR1
287 ARID2,HDAC3
288 MEF2A,CBX5
289 NEUROD1,EP300
290 CBFA2T3,HDAC6
291 HDAC6,MBD2
292 HDAC3,MYBL2
293 YY1,NR2F1
294 IKZF1,SIN3B
295 GATA1,PHF21A
296 BRD4,NFYA
297 HDAC1,CEBPB
298 RB1,SMC3
299 FOXA1,HDAC1
300 FUS,THRA
301 SIN3A,HDAC1
302 GTF2F1,SUPT5H
303 SMARCA4,H2AFZ
304 PRDM10,HDAC6
305 STAT5A,NCOA1
306 BRD4,SIN3B
307 CDC5L,EP300
308 TARDBP,FUS
309 MNT,HDAC1
310 ZBTB5,ZBTB7A
311 PHF21A,EGR1
312 HDAC2,MTA3
313 CDC5L,E2F7
314 CDC5L,SMARCE1
315 ASH1L,PRDM10
316 EHMT2,ZNF143
317 PTBP1,YBX3
318 JUN,BRD4
319 EHMT2,AGO1
320 FOXM1,HDAC6
321 HDAC1,ZNF639
322 BRD4,MYBL2
323 GABPB1,NCOR1
324 MYC,NFIC
325 RBM39,PCBP1
326 SIN3A,SAP30
327 UBTF,HLTF
328 HLTF,FOS
329 IKZF1,EHMT2
330 SIN3A,FOXM1
331 SETDB1,NR2F1
332 MBD2,PHF21A
333 KDM1A,PRDM10
334 NCOR1,PHB2
335 TCF7,SMAD1
336 SETDB1,HLTF
337 RB1,FOS
338 DDX20,POLR2A
339 MGA,RNF2
340 HNRNPK,FUS
341 ETS1,SMARCE1
342 TBL1XR1,RBBP5
343 NCOA2,ARNT
344 E4F1,EP300
345 SMARCB1,MLLT1
346 NCOA4,NR2F1
347 BCLAF1,ZC3H11A
348 HDAC1,NFYB
349 RCOR1,JUN
350 ETS1,FOXM1
351 EGR1,SIN3A
352 ZNF592,KDM1A
353 USF1,MAX
354 IKZF1,FOXA1
355 SMARCA4,CEBPB
356 SMARCA5,TBP
357 SIN3A,KDM1A
358 MYC,YY1
359 EGR1,BCOR
360 PKNOX1,SMARCA4
361 HDGF,THAP1
362 SMARCA5,SETDB1
363 PHF21A,ATF7
364 DNMT1,NR2F2
365 PHF21A,MAX
366 KLF16,HDAC6
367 MTA3,KDM1A
368 ZBTB7A,RB1
369 CEBPB,SREBF1
370 BCOR,ZNF280A
371 SMARCA5,DNMT1
372 TCF7,HDAC3
373 EP400,E2F1
374 POLR2A,FUS
375 PHF21A,SETDB1
376 ZFP91,PHF21A
377 ZKSCAN1,SIN3B
378 YY1,FOXK2
379 CTCF,BCOR
380 KAT8,MLLT1
381 NR0B1,EGR1
382 HDAC6,NCOR1
383 NFYA,CREM
384 IKZF1,TCF7L2
385 RB1,THAP1
386 E4F1,SMARCA4
387 SMARCA4,PRDM10
388 POLR2G,SETDB1
389 HDAC3,SMARCE1
390 JUN,UBTF
391 NONO,HDAC1
392 TCF7L2,E2F1
393 PRDM10,THRA
394 MAX,MNT
395 TRIM28,MYBL2
396 EP300,NEUROD1
397 JUN,SMARCC2
398 SIN3A,SMARCA4
399 GATA2,JUN
400 DEAF1,NFATC3
401 EHMT2,MTA1
402 BCLAF1,TARDBP
403 TBP,ZBED1
404 HDGF,ZNF263
405 RB1,YY1
406 SRSF1,NR3C1
407 MLLT1,BRD4
408 GATA2,FOXK2
409 HDAC6,FOXM1
410 EP300,EGR1
411 SMARCE1,HDAC3
412 IKZF1,HLTF
413 PRDM10,BCOR
414 SIN3A,TRIM28
415 SRSF1,TBL1XR1
416 ARID1B,HDAC1
417 KDM1A,SMARCA5
418 POLR2G,MLLT1
419 SMARCA4,L3MBTL2
420 SP1,TBP
421 NR3C1,FOXK2
422 SP1,NR3C1
423 MIER1,HDAC6
424 HNRNPK,TARDBP
425 ATF2,AGO1
426 SUZ12,E2F8
427 BHLHE40,FOXA1
428 HDAC2,NR3C1
429 ASH1L,CTCF
430 MIER1,NFYB
431 POLR2A,TRIP13
432 MYBL2,HDAC3
433 SMARCA4,GATA1
434 RLF,HDAC2
435 SMARCE1,IKZF1
436 BRD4,LARP7
437 SMARCB1,ZBTB7A
438 CBX5,HDAC1
439 SMARCA5,MAX
440 KLF16,HDAC1
441 MYBL2,REST
442 ZSCAN29,HDAC3
443 STAT5A,PCBP1
444 SIN3B,EP400
445 SMAD5,SKIL
446 SMAD5,PKNOX1
447 HCFC1,JUN
448 NR2F2,NCOA2
449 RUNX1,NCOR1
450 HDAC3,ATF7
451 SMARCC2,SETDB1
452 ARID2,SIN3A
453 XRCC5,EHMT2
454 ATF3,MTA3
455 NFYA,BRD4
456 MNT,HCFC1
457 ZEB2,MTA1
458 SETDB1,NFYB
459 PML,GATA2
460 SMAD1,LEF1
461 SP1,SIN3A
462 ZNF639,EHMT2
463 CEBPB,SPI1
464 POLR3A,RNF2
465 JUN,SRSF1
466 BHLHE40,SIRT6
467 FOXM1,TCF7L2
468 HLTF,THAP1
469 EHMT2,SIRT6
470 EHMT2,CBX1
471 GTF2B,POLR3A
472 KDM1A,SMARCA4
473 SETDB1,POLR2A
474 PRDM10,KDM1A
475 REST,FOXM1
476 SMARCA4,ARID2
477 NONO,POLR2A
478 FOS,RB1
479 EGR1,EP300
480 GATA1,NFYA
481 SMARCB1,ARNT
482 DPF2,ARID2
483 POLR3A,RAD51
484 EP300,ATF2
485 SMARCA4,MYC
486 XRCC5,SETDB1
487 CEBPB,HDAC3
488 LEF1,MYBL2
489 ZBTB7A,SMARCA4
490 NCOR1,CBFA2T3
491 SPI1,ATF1
492 HES1,MYC
493 FOXK2,GATA1
494 HDAC1,NKRF
495 EP400,FOS
496 TCF7L2,REST
497 TEAD4,SMARCC2
498 RBM14,TCF12
499 CTCF,ESRRA
